Lighthouse Financials,,,,,,,,,
PORTFOLIO APPRAISAL,,,,,,,,,
As Of 30/11/2014,,,,,,,,,
Account : 100345     Milind  Goyal,,,,,,,,,
Aggressive Portfolio,,,,,,,,,
,By Asset Class,,,,,,,,
,,,,,,,,,
Security,,Quantity,Unit Cost,Cost,Price,Market Value,Gain / Loss (+/-),% G/L,% Assets
,,,,,,Accrued Income,,,
Equity,,,,,,,,,
SOLAR INDUSTRIES INDIA LTD,,"1,804","1,484.93","2,678,809.97","2,657.15","4,793,498.60","2,114,689",78.94%,9.57%
AUROBINDO PHARMA LTD,,"3,102",202.45,"628,003.00","1,090.85","3,383,816.70","2,755,814",438.82%,6.76%
AIA ENGINEERING LIMITED,,"2,184",596.7,"1,303,190.55","1,208.75","2,639,910.00","1,336,719",102.57%,5.27%
TORRENT PHARMACEUTICALS LTD,,"2,320",278.81,"646,844.73","1,027.55","2,383,916.00","1,737,071",268.55%,4.76%
VOLTAS LTD,,"8,728",241.72,"2,109,740.89",270.55,"2,361,360.40","251,620",11.93%,4.72%
WHIRLPOOL OF INDIA LTD,,"3,668",441.02,"1,617,661.36",623.35,"2,286,447.80","668,786",41.34%,4.57%
BAYER CROPSCIENCE LTD,,786,"2,413.31","1,896,858.52","2,872.90","2,258,099.40","361,241",19.04%,4.51%
AMARA RAJA BATTERIES LTD,,"2,989",231.59,"692,214.23",750.6,"2,243,543.40","1,551,329",224.11%,4.48%
BAJAJ FINANCE LTD,,725,"2,722.66","1,973,929.23","3,083.85","2,235,791.25","261,862",13.27%,4.46%
BANK OF BARODA,,"1,957",750.53,"1,468,792.47","1,087.20","2,127,650.40","658,858",44.86%,4.25%
AXIS BANK LTD,,"4,378",244.11,"1,068,716.91",481.2,"2,106,693.60","1,037,977",97.12%,4.21%
HINDUSTAN PETROLEUM CORPORATION LTD,,"3,495",482.39,"1,685,956.55",596.75,"2,085,641.25","399,685",23.71%,4.16%
SKF INDIA LTD,,"1,424",810.2,"1,153,731.92","1,360.10","1,936,782.40","783,050",67.87%,3.87%
SUNDARAM FASTENERS LTD,,"10,031",151.93,"1,523,969.71",190.65,"1,912,410.15","388,440",25.49%,3.82%
UNION BANK OF INDIA,,"8,473",137.47,"1,164,774.84",215.25,"1,823,813.25","659,038",56.58%,3.64%
IPCA LABORATORIES LIMITED,,"2,593",345.11,"894,873.15",684.4,"1,774,649.20","879,776",98.31%,3.54%
SUPREME INDUSTRIES LTD,,"2,871",288.79,"829,126.88",617.65,"1,773,273.15","944,146",113.87%,3.54%
CARBORUNDUM UNIVERSAL LTD,,"10,127",160.95,"1,629,934.21",172.75,"1,749,439.25","119,505",7.33%,3.49%
DIVIS LABORATORIES LTD,,974,785.96,"765,528.38","1,727.80","1,682,877.20","917,349",119.83%,3.36%
TUBE INVESTMENTS OF INDIA LTD,,"4,824",325.16,"1,568,581.49",331.05,"1,596,985.20","28,404",1.81%,3.19%
BALKRISHNA INDUSTRIES LTD,,"2,355",492.45,"1,159,720.91",629.3,"1,482,001.50","322,281",27.79%,2.96%
MINDTREE LTD,,524,967.92,"507,191.64","1,199.45","628,511.80","121,320",23.92%,1.26%
,,,,"28,968,151.51",,"47,267,111.90","18,298,960",63.17%,94.39%
Cash and Equivalent,,,,,,,,,
Cash,,"1,693,222.76",1,"1,693,222.76",1,"1,693,222.76",0,0.00%,3.38%
Birla SL Cash Plus -G,,"5,125.48",214.94,"1,101,694.44",218.0367,"1,117,542.42","15,848",1.44%,2.23%
,,,,"2,794,917.20",,"2,810,765.18","15,848",0.57%,5.61%
,,,,"31,763,068.71",,"50,077,877.08","18,314,808",57.66%,100.00%
